Customer ID,Segment
LO028977,Snacks
OH046670,Condiments
FH015492,Accessories
ZZ015342,Snacks
TV075977,Produce
HL006234,Sauces
AA070185,Meat
EG051605,Home
UF034417,Produce
CG060898,Baking
EE025228,Condiments
CX034161,Sides
LT073005,Grains
YL006843,Frozen Foods
YL065975,Health
YC083120,Snacks
BT046086,Home Appliances
WL011058,Frozen Foods
XT003630,Frozen Meals
ON076441,Sides
TI096309,Health
AM053527,Prepared Foods
GA094839,Snacks
CA010518,Bakery
RC069836,Home
XW060260,Outdoor
FR008830,Grooming
YC016347,Footwear
PW001906,Condiments
LV083814,Travel
YO052337,Sauces
YJ078139,Prepared Foods
QP093917,Snacks
LM010826,Prepared Foods
IA020578,Toys
SZ015455,Canned Goods
DU053934,Health
FR010822,Condiments
PO009558,Outdoor
MC022478,Unknown
LT063474,Outdoor
PN010412,Baking
IR004773,Snacks
ES037170,Home
XH062520,Health
ZX008337,Dairy
DI067107,Jumpsuits
LE047809,Automotive
EB064981,Health
KX027147,Home
IL009957,Health
AC082690,Kitchen
VA049493,Spices
ZJ097568,Home
WZ006306,Meat
XJ066938,Condiments
MQ028717,Supplements
NB014517,Cereals
PB063442,Baking
UA071149,Beauty
DT034609,Home
AS095657,Meat
LT061731,Frozen
RU058520,Dresses
WT037292,Frozen Foods
DF076925,Dips
CM032751,Meat
OF087559,Beverages
BD074505,Office
MJ019298,Condiments
OC007575,Fitness
JQ000431,Fitness
JX027350,Condiments
AC065424,Breakfast
QR064670,Safety
IL085160,Fitness
TV097382,Kitchen
RV043501,Frozen
LJ099998,Produce
NF066979,Outdoor
CY070612,Sauces
DO001772,Grains
QJ030114,Home
AP095673,Toys
RO013242,Cereal
EF042732,Sauces
TA007457,Outdoor
SE071898,Toys
HF000394,Spices
YD055268,Accessories
SJ097729,Home
MU027586,Confectionery
CH053616,Beverages
SW066440,Meat
LR063902,Canned Goods
YK006641,Soups
QP097532,Breakfast
PW078874,Soups
UX079399,Office
MR095188,Outdoor
KP021070,Snacks
CJ007867,Health
ON014862,Produce
XE095413,Baking & Cooking
CI029431,Books
VQ012259,Confectionery
MX021696,Home
YX078642,Beverages
DG015801,Accessories
GO006694,Breakfast Foods
PS058519,Outerwear
YR000590,Condiments
RK016062,Fitness
VO026219,Snacks
JY078378,Oils
AC032117,Automotive
AG018641,Beverages
VQ077263,Kitchen
JA054648,Health
MB099438,Snacks
HU066299,Audio
NH032711,Fitness
GT004985,Kitchen
XB095293,Frozen Foods
VY088461,Beverages
AK047185,Beverages
RP069641,Garden
LY032208,Home
FZ057864,Bakery
TK000744,Marinades
UM003359,Tops
BK006338,Pets
SL056460,Beverages
LW071445,Unknown
OA076119,Accessories
IC023332,Outdoor
XT059837,Breakfast
RJ028775,Dairy
YU047262,Prepared Foods
LH034480,Kitchen
IN017659,Gaming
XQ042731,Dresses
EO027251,Kitchen
GL049016,Breakfast
AX035056,Kitchen
QZ098914,Food
BW040945,Supplements
RG074102,Condiments
JJ088756,Nuts
MX029359,Grains
NV061613,Automotive
RL033705,Kitchen
QY049868,Kitchen
PC066841,Kitchen
AW056186,Health
QN014838,Travel
YB068814,Condiments
EY021607,Unknown
FX080042,Canned Goods
PH033131,Pasta
KI039617,Prepared Meals
CX029462,Unknown
TU039036,Dairy
VH068058,Toys
IJ021121,Accessories
AO040681,Home
GF083063,Toys
IM018779,Frozen Foods
WW058734,Freezer
VN077787,Home Appliances
NS069640,Snacks
