City,Postal Code,Region,Country
Norton,S8,,England
West End,DN36,East of England,England
Newtown,RG20,East Midlands,England
East End,BH21,North West,England
Seaton,LE15,East Midlands,England
Craigavon,BT66,,Northern Ireland
Norton,S8,West Midlands,England
London,WC1B,,England
Kinloch,PH43,,Scotland
Halton,LS9,,England
Manchester,M14,East Midlands,England
Thorpe,BD23,,England
London,W1F,West Midlands,
Bradford,BD7,North West,England
Kingston,DT10,East Midlands,England
Preston,PR1,East Midlands,England
Eaton,DN22,,England
Brampton,NR34,,England
Wootton,NN4,Yorkshire and the Humber,England
Ford,GL54,North West,England
Birmingham,B40,South West,England
Liverpool,L74,South West,England
Aston,TF6,East of England,England
Buckland,CT16,South East,England
East End,BH21,East of England,England
Linton,BD23,London,England
Kingston,DT10,London,England
Thorpe,BD23,London,England
Sutton,CT15,Yorkshire and the Humber,England
Burnside,EH52,,Scotland
London,WC2H,West Midlands,England
Carlton,DL8,North West,England
Linton,BD23,North East,England
Linton,BD23,North West,England
Aston,TF6,East Midlands,England
Sheffield,S33,East Midlands,England
Aberdeen,AB39,,Scotland
Newbiggin,NE46,West Midlands,England
Sutton,CT15,East Midlands,England
Liverpool,L33,South West,England
Sheffield,S1,Yorkshire and the Humber,England
Wootton,NN4,East Midlands,England
Denton,M34,West Midlands,England
Tullich,AB55,,Scotland
Kirkton,KW10,,Scotland
Merton,SW19,London,England
Newton,IV1,,Scotland
Birmingham,B12,West Midlands,England
Marston,ST20,East of England,England
Milton,NG22,West Midlands,England
Norton,NN11,,England
London,EC3M,North East,England
London,SW1E,South East,England
London,WC1B,South West,England
Walton,CV35,North West,England
Langley,SG4,West Midlands,England
Seaton,LE15,North West,England
Whitwell,DL10,East Midlands,England
Milton,NG22,London,England
Marston,ST20,North East,England
London,EC3M,West Midlands,England
Walton,CV35,Yorkshire and the Humber,England
Hatton,CV35,North West,England
Horton,BS37,North East,England
Birmingham,B12,North West,England
Linton,BD23,South East,England
Manchester,M14,Yorkshire and the Humber,England
Liverpool,L33,South East,England
Church End,CB4,South East,England
Middleton,LE16,,England
